Date,Predicted_Volume
2006-10-08,1188021.4
2006-10-09,1187238.1
2006-10-10,1195983.8
2006-10-11,1193152.9
2006-10-12,1192267.6
2006-10-13,1192638.9
2006-10-14,1190469.0
2006-10-15,1188366.5
2006-10-16,1189468.1
2006-10-17,1196470.8
2006-10-18,1192928.1
2006-10-19,1193017.1
2006-10-20,1192381.9
2006-10-21,1193660.0
2006-10-22,1187586.8
2006-10-23,1187456.1
2006-10-24,1195460.0
2006-10-25,1189710.4
2006-10-26,1191368.9
2006-10-27,1190069.4
2006-10-28,1186735.0
2006-10-29,1181073.6
2006-10-30,1184152.1
2006-10-31,1184634.5
